,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
6,"(1.78515625, 1.9609375)","(1.765625, 2.43359375)","(1.3671875, 2.44140625)","(1.13671875, 2.99609375)","(1.05859375, 3.5)","(2.15625, 2.4453125)","(2.36328125, 3.01171875)","(2.46484375, 3.53515625)","(1.52734375, 3.11328125)","(1.26953125, 3.421875)","(1.328125, 4.1640625)","(1.95703125, 3.12109375)","(2.22265625, 3.40625)","(2.2265625, 4.16015625)","(1.70703125, 1.90234375)","(1.85546875, 1.90234375)","(1.5859375, 2.0)","(1.9609375, 1.98046875)"
7,"(1.78515625, 1.9609375)","(1.765625, 2.43359375)","(1.3671875, 2.44140625)","(1.13671875, 2.99609375)","(1.0546875, 3.5)","(2.15625, 2.4453125)","(2.3671875, 3.01171875)","(2.46484375, 3.53515625)","(1.51953125, 3.11328125)","(1.265625, 3.42578125)","(1.33203125, 4.1640625)","(1.953125, 3.125)","(2.22265625, 3.41015625)","(2.2265625, 4.15625)","(1.70703125, 1.90234375)","(1.85546875, 1.90234375)","(1.5859375, 2.0)","(1.9609375, 1.98046875)"
8,"(1.78515625, 1.9609375)","(1.765625, 2.43359375)","(1.3671875, 2.44140625)","(1.1328125, 2.99609375)","(1.0546875, 3.50390625)","(2.15625, 2.4453125)","(2.36328125, 3.01171875)","(2.46484375, 3.53515625)","(1.52734375, 3.11328125)","(1.265625, 3.42578125)","(1.328125, 4.1640625)","(1.95703125, 3.125)","(2.22265625, 3.40625)","(2.2265625, 4.15625)","(1.70703125, 1.90234375)","(1.85546875, 1.90234375)","(1.5859375, 2.0)","(1.9609375, 1.98046875)"
9,"(1.78515625, 1.9609375)","(1.765625, 2.43359375)","(1.3671875, 2.44140625)","(1.1328125, 2.99609375)","(1.0546875, 3.50390625)","(2.15625, 2.4453125)","(2.36328125, 3.01171875)","(2.46484375, 3.53515625)","(1.5234375, 3.11328125)","(1.265625, 3.42578125)","(1.328125, 4.1640625)","(1.95703125, 3.125)","(2.22265625, 3.40625)","(2.2265625, 4.15625)","(1.70703125, 1.90234375)","(1.85546875, 1.90234375)","(1.5859375, 2.0)","(1.9609375, 1.98046875)"
10,"(1.78125, 1.94921875)","(1.765625, 2.37890625)","(1.375, 2.3828125)","(1.1328125, 2.92578125)","(1.0625, 3.4375)","(2.15234375, 2.38671875)","(2.3671875, 2.9609375)","(2.46484375, 3.47265625)","(1.546875, 3.08203125)","(1.34765625, 2.93359375)","(0.00518798828125, 0.016265869140625)","(1.96875, 3.08203125)","(2.2265625, 3.39453125)","(2.23046875, 4.15625)","(1.70703125, 1.8828125)","(1.8515625, 1.88671875)","(1.58203125, 1.96484375)","(1.953125, 1.953125)"
11,"(1.78125, 1.94921875)","(1.765625, 2.37890625)","(1.375, 2.3828125)","(1.1328125, 2.92578125)","(1.0625, 3.4375)","(2.15234375, 2.38671875)","(2.3671875, 2.9609375)","(2.46875, 3.4765625)","(1.546875, 3.07421875)","(1.34765625, 2.93359375)","(0.0076904296875, 0.0120391845703125)","(1.96484375, 3.078125)","(2.2265625, 3.39453125)","(2.23046875, 4.15625)","(1.703125, 1.8828125)","(1.8515625, 1.88671875)","(1.58203125, 1.96484375)","(1.953125, 1.953125)"
12,"(1.77734375, 1.9296875)","(1.76171875, 2.3359375)","(1.37109375, 2.3359375)","(1.125, 2.875)","(1.05859375, 3.3828125)","(2.1484375, 2.34765625)","(2.3671875, 2.890625)","(2.46875, 3.40234375)","(1.51171875, 3.00390625)","(1.265625, 3.375)","(1.32421875, 4.15234375)","(1.96875, 3.015625)","(2.234375, 3.37890625)","(2.23828125, 4.16015625)","(1.69921875, 1.86328125)","(1.84765625, 1.86328125)","(1.57421875, 1.93359375)","(1.953125, 1.92578125)"
13,"(1.77734375, 1.9296875)","(1.76171875, 2.3359375)","(1.37109375, 2.3359375)","(1.125, 2.875)","(1.0546875, 3.37890625)","(2.1484375, 2.34765625)","(2.3671875, 2.890625)","(2.46875, 3.40234375)","(1.51171875, 3.00390625)","(1.265625, 3.375)","(1.32421875, 4.15234375)","(1.96484375, 3.015625)","(2.234375, 3.37890625)","(2.23828125, 4.16015625)","(1.69921875, 1.86328125)","(1.84765625, 1.86328125)","(1.57421875, 1.93359375)","(1.953125, 1.92578125)"
14,"(1.7734375, 1.8828125)","(1.765625, 2.27734375)","(1.375, 2.28125)","(1.10546875, 2.796875)","(1.05859375, 3.28125)","(2.1484375, 2.2890625)","(2.375, 2.8125)","(2.48046875, 3.328125)","(1.53125, 2.92578125)","(1.25390625, 3.3828125)","(1.32421875, 4.16015625)","(1.98046875, 2.94921875)","(2.25, 3.38671875)","(2.234375, 4.1640625)","(1.69140625, 1.8203125)","(1.84375, 1.81640625)","(1.57421875, 1.890625)","(1.94921875, 1.875)"
15,"(1.7734375, 1.8828125)","(1.765625, 2.27734375)","(1.375, 2.28125)","(1.10546875, 2.796875)","(1.05859375, 3.28125)","(2.1484375, 2.2890625)","(2.375, 2.8125)","(2.48046875, 3.33203125)","(1.5234375, 2.921875)","(1.25390625, 3.3828125)","(1.32421875, 4.16015625)","(1.98046875, 2.9453125)","(2.25, 3.38671875)","(2.234375, 4.1640625)","(1.69140625, 1.8203125)","(1.84375, 1.81640625)","(1.57421875, 1.890625)","(1.94921875, 1.875)"
16,"(1.76953125, 1.83984375)","(1.765625, 2.22265625)","(1.375, 2.2265625)","(1.1015625, 2.72265625)","(1.046875, 3.21875)","(2.1484375, 2.23828125)","(2.3828125, 2.7578125)","(2.48046875, 3.26953125)","(1.50390625, 2.85546875)","(1.2578125, 3.359375)","(1.3203125, 4.1640625)","(1.9765625, 2.87890625)","(2.2578125, 3.37109375)","(2.234375, 4.16796875)","(1.69140625, 1.7734375)","(1.84375, 1.7734375)","(1.5703125, 1.84765625)","(1.94921875, 1.8359375)"
17,"(1.76953125, 1.83984375)","(1.765625, 2.22265625)","(1.375, 2.2265625)","(1.1015625, 2.72265625)","(1.046875, 3.21875)","(2.1484375, 2.23828125)","(2.3828125, 2.7578125)","(2.48046875, 3.26953125)","(1.50390625, 2.85546875)","(1.2578125, 3.36328125)","(1.3203125, 4.1640625)","(1.9765625, 2.87890625)","(2.2578125, 3.37109375)","(2.234375, 4.16796875)","(1.69140625, 1.7734375)","(1.84375, 1.7734375)","(1.5703125, 1.84765625)","(1.94921875, 1.8359375)"
18,"(1.7734375, 1.77734375)","(1.765625, 2.15625)","(1.3828125, 2.16015625)","(1.09765625, 2.640625)","(1.05078125, 3.15234375)","(2.15234375, 2.1640625)","(2.390625, 2.66015625)","(2.4765625, 3.1796875)","(1.5078125, 2.81640625)","(1.2578125, 3.3125)","(1.328125, 4.15625)","(1.98046875, 2.84375)","(2.2734375, 3.30078125)","(2.23828125, 4.16015625)","(1.69140625, 1.71484375)","(1.84375, 1.7109375)","(1.57421875, 1.78515625)","(1.94921875, 1.7734375)"
19,"(1.7734375, 1.77734375)","(1.765625, 2.15625)","(1.37890625, 2.16015625)","(1.09765625, 2.640625)","(1.05078125, 3.15625)","(2.15234375, 2.1640625)","(2.390625, 2.65625)","(2.4765625, 3.17578125)","(1.5078125, 2.81640625)","(1.2578125, 3.31640625)","(1.328125, 4.15625)","(1.9765625, 2.84765625)","(2.2734375, 3.3046875)","(2.2421875, 4.16015625)","(1.69140625, 1.71484375)","(1.84375, 1.7109375)","(1.57421875, 1.78515625)","(1.94921875, 1.76953125)"
20,"(1.7734375, 1.77734375)","(1.765625, 2.15234375)","(1.3828125, 2.16015625)","(1.09765625, 2.640625)","(1.05078125, 3.15234375)","(2.15234375, 2.1640625)","(2.390625, 2.66015625)","(2.4765625, 3.17578125)","(1.5078125, 2.8203125)","(1.26171875, 3.30859375)","(1.328125, 4.15234375)","(1.98046875, 2.84765625)","(2.2734375, 3.3046875)","(2.2421875, 4.16015625)","(1.69140625, 1.71484375)","(1.84375, 1.71484375)","(1.57421875, 1.78515625)","(1.94921875, 1.7734375)"
21,"(1.7734375, 1.77734375)","(1.765625, 2.15234375)","(1.3828125, 2.16015625)","(1.09765625, 2.640625)","(1.05078125, 3.15625)","(2.15234375, 2.1640625)","(2.390625, 2.66015625)","(2.4765625, 3.17578125)","(1.5078125, 2.8203125)","(1.26171875, 3.30859375)","(1.328125, 4.15234375)","(1.98046875, 2.84765625)","(2.2734375, 3.3046875)","(2.2421875, 4.16015625)","(1.69140625, 1.71484375)","(1.84375, 1.71484375)","(1.57421875, 1.78515625)","(1.94921875, 1.7734375)"
22,"(1.76953125, 1.70703125)","(1.76953125, 2.08984375)","(1.3828125, 2.09765625)","(1.08984375, 2.5546875)","(1.04296875, 3.0625)","(2.15234375, 2.1015625)","(2.390625, 2.59765625)","(2.46875, 3.12109375)","(1.49609375, 2.796875)","(1.24609375, 3.296875)","(1.32421875, 4.16015625)","(1.98828125, 2.828125)","(2.28125, 3.28125)","(2.23046875, 4.15625)","(1.69140625, 1.64453125)","(1.83984375, 1.640625)","(1.5703125, 1.71875)","(1.9453125, 1.69921875)"
23,"(1.76953125, 1.70703125)","(1.76953125, 2.08984375)","(1.3828125, 2.09765625)","(1.08984375, 2.5546875)","(1.04296875, 3.0625)","(2.15234375, 2.1015625)","(2.390625, 2.59765625)","(2.46875, 3.12109375)","(1.49609375, 2.79296875)","(1.24609375, 3.296875)","(1.32421875, 4.16015625)","(1.98828125, 2.82421875)","(2.28515625, 3.28125)","(2.23046875, 4.15625)","(1.69140625, 1.64453125)","(1.83984375, 1.640625)","(1.5703125, 1.71875)","(1.9453125, 1.69921875)"
24,"(1.77734375, 1.59765625)","(1.77734375, 2.0)","(1.39453125, 2.00390625)","(1.08984375, 2.46875)","(1.05078125, 2.97265625)","(2.15234375, 2.00390625)","(2.40234375, 2.50390625)","(2.48046875, 3.03125)","(1.49609375, 2.7109375)","(1.23828125, 3.2734375)","(1.32421875, 4.15625)","(1.984375, 2.74609375)","(2.28515625, 3.24609375)","(2.2421875, 4.16015625)","(1.69921875, 1.5390625)","(1.84375, 1.53125)","(1.58203125, 1.625)","(1.94921875, 1.59375)"
25,"(1.77734375, 1.59765625)","(1.77734375, 2.0)","(1.39453125, 2.00390625)","(1.08984375, 2.46875)","(1.05078125, 2.97265625)","(2.15234375, 2.00390625)","(2.40234375, 2.50390625)","(2.48046875, 3.03125)","(1.5, 2.703125)","(1.234375, 3.26953125)","(1.32421875, 4.15625)","(1.984375, 2.7421875)","(2.28515625, 3.2421875)","(2.2421875, 4.16015625)","(1.69921875, 1.5390625)","(1.84375, 1.53125)","(1.58203125, 1.625)","(1.94921875, 1.59375)"
26,"(1.78125, 1.47265625)","(1.78125, 1.91015625)","(1.3984375, 1.91015625)","(1.09375, 2.36328125)","(1.0546875, 2.87890625)","(2.15625, 1.9140625)","(2.39453125, 2.40625)","(2.48046875, 2.91015625)","(1.49609375, 2.70703125)","(1.19140625, 3.28515625)","(1.31640625, 4.140625)","(2.00390625, 2.74609375)","(2.3203125, 3.26953125)","(2.23046875, 4.15625)","(1.70703125, 1.41015625)","(1.8515625, 1.41015625)","(1.5859375, 1.50390625)","(1.953125, 1.48046875)"
