,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
0,"(0.8203125, 1.76953125)","(1.32421875, 2.37109375)","(0.9375, 2.4453125)","(0.8828125, 3.01953125)","(0.796875, 3.59375)","(1.6953125, 2.3359375)","(2.19140625, 2.9375)","(2.34375, 3.5703125)","(1.96484375, 3.00390625)","(1.03125, 3.30859375)","(1.48046875, 4.21484375)","(2.57421875, 2.9609375)","(1.98046875, 3.25390625)","(2.34375, 4.2265625)","(0.8359375, 1.6953125)","(0.9609375, 1.703125)","(None, None)","(1.296875, 1.83984375)",1.546875,1.311162357801514,0.580613836174968,1.157015160674764,0.576817038156652,0.6508919098593196,1.3943288105863876,0.7797348589073805,1.0114774084731515,1.3042196017278878,0.9820548674566572,1.0382838953126572,1.286437905750434,0.6620949712666322,1.3084596479794954,0.36911478910910966,0.9236113150715105,0.6515011399464796,0.48175323729127656,0.65625,0.3249474116107097,1.3364000021776088,0.3802729860840926,1.2980334152364155,2.532855996117883,2.890997125540393,1.5534503557605244,1.8839670021099262,1.6833399605699266,2.12029148617074,1.824369305885684,2.358744353836976,1.2515615246562992,1.8011243911139578,4
1,"(0.78125, 1.75390625)","(1.30859375, 2.32421875)","(0.93359375, 2.40234375)","(0.875, 2.9609375)","(0.78515625, 3.56640625)","(1.671875, 2.28125)","(2.17578125, 2.8828125)","(2.33984375, 3.51953125)","(1.9453125, 2.9296875)","(1.046875, 3.30078125)","(1.484375, 4.20703125)","(2.59375, 2.8984375)","(2.3515625, 3.65625)","(2.3515625, 4.2265625)","(0.78515625, 1.69140625)","(0.9140625, 1.68359375)","(0.0051727294921875, 0.0092620849609375)","(1.2578125, 1.8046875)",1.5546875,1.303125234187629,0.6120982818474702,1.1734884725946395,0.5616584416512628,0.6575159849827322,1.4069551183595463,0.7847285837761439,1.0063276367565386,1.3579655498466492,0.9720599326663518,0.5703125,1.3500262222569048,0.7955718511313105,1.323394608956688,0.3728985716338459,0.9483181169716006,0.6709886959391529,0.13722006304883044,0.7071283600437229,0.3808343341126985,1.3871148201984083,0.7931611527664555,1.3551985501584491,2.551902629656939,2.9291483878971225,1.5695155004809604,2.466737337216979,1.6545401330151568,2.1436203097159168,1.812504209316233,2.355131868529672,1.2106665523489788,1.7941980739359924,4
2,"(0.76953125, 1.734375)","(1.29296875, 2.30078125)","(0.9140625, 2.3828125)","(0.86328125, 2.94921875)","(0.8046875, 3.515625)","(1.65625, 2.26171875)","(2.16796875, 2.85546875)","(2.34765625, 3.50390625)","(1.96875, 2.9140625)","(1.078125, 3.30078125)","(1.46484375, 4.18359375)","(2.58984375, 2.87890625)","(1.11328125, 3.296875)","(1.5, 4.22265625)","(0.76953125, 1.671875)","(0.90234375, 1.66796875)","(0.0036468505859375, 0.0093841552734375)","(1.24609375, 1.78515625)",1.54296875,1.3080514268010452,0.5694288959809863,1.138080423687733,0.5686780946991232,0.6728735312542024,1.4216442549721475,0.783833618570652,0.9637994095027308,1.3658810722444414,0.9709604946786262,1.003305693422062,1.7301512829559333,1.5345796468032582,1.310312537264488,0.3477440198196261,0.939142441480857,0.6702833618375516,1.2516163865584224,1.1113607338142115,0.4120121701118943,1.3731566123466217,1.1433307483818111,1.5216385612663779,2.5460031339351907,2.5932852087319906,1.5965145293977518,1.5998657170212756,1.6821974343125756,2.1502300760343793,1.7815969028975276,2.3710165246896873,1.218455743724023,1.7923388735658534,4
3,"(0.75, 1.69140625)","(1.2734375, 2.23828125)","(0.90234375, 2.33203125)","(0.875, 2.890625)","(0.80859375, 3.4453125)","(1.6328125, 2.20703125)","(2.18359375, 2.8046875)","(2.34765625, 3.41796875)","(1.9609375, 2.87109375)","(1.12109375, 3.265625)","(1.484375, 4.203125)","(2.58203125, 2.8203125)","(2.34375, 3.5390625)","(2.37109375, 4.22265625)","(0.75390625, 1.6171875)","(0.87890625, 1.62890625)","(0.0033721923828125, 0.0115203857421875)","(1.21875, 1.73828125)",1.5390625,1.3114125424309897,0.5586483801957296,1.1172216450201644,0.5592626021853464,0.6348467496237281,1.4061903199141688,0.8127441039562361,1.0054250427563272,1.4147151894932113,0.9278967785484682,0.6841404064248252,1.4181193962675753,0.7572182754011967,1.2874872003307936,0.360477249845604,1.0153620452862184,0.6419693402251095,0.1211567376505533,0.8050287504570877,0.44853888771104616,1.447063972540606,0.7516359923786663,1.4303117233584302,2.616875564433006,3.005856202280652,1.617366762407533,2.440055876545466,1.6905715680096185,2.1519218903727952,1.7548847145405664,2.3523442689305307,1.2057158082863317,1.815099496347411,4
4,"(0.734375, 1.62890625)","(1.25390625, 2.1640625)","(0.890625, 2.2578125)","(0.87890625, 2.8046875)","(0.80078125, 3.375)","(1.60546875, 2.1328125)","(2.1796875, 2.71484375)","(2.34375, 3.34375)","(2.0, 2.80078125)","(1.140625, 3.26953125)","(1.484375, 4.19921875)","(2.5859375, 2.7421875)","(2.3515625, 3.51953125)","(2.39453125, 4.21875)","(0.7265625, 1.546875)","(0.87109375, 1.56640625)","(0.0031585693359375, 0.013458251953125)","(1.2109375, 1.6796875)",1.54296875,1.3038802704871428,0.5756386568683952,1.1207942762034042,0.5470005436254726,0.6499535177190078,1.418248508903786,0.8176108786141028,0.9912027593566566,1.4904685780086913,0.9789034442298178,0.7005377747331867,1.4889167770380292,0.8119082129705688,1.3296062511898494,0.3558334324380229,1.070811357285038,0.6484845615452229,0.17595477546180013,0.8764723243500404,0.5334570423338931,1.5202992516123677,0.822838373121508,1.5191747252054733,2.677500018236461,3.076265499567312,1.690174385418558,2.487922486891674,1.7248471399663217,2.160481157753479,1.7473560523911906,2.35176039968766,1.1846310945092253,1.8078131752375575,4
5,"(0.73046875, 1.59375)","(1.2578125, 2.14453125)","(0.8671875, 2.23046875)","(0.87890625, 2.76953125)","(0.79296875, 3.33984375)","(1.62890625, 2.109375)","(2.18359375, 2.67578125)","(2.34375, 3.27734375)","(2.015625, 2.7578125)","(1.140625, 3.24609375)","(1.484375, 4.1953125)","(2.59375, 2.69921875)","(2.3828125, 3.4296875)","(2.38671875, 4.2265625)","(0.71875, 1.515625)","(0.86328125, 1.52734375)","(0.0062713623046875, 0.008331298828125)","(1.20703125, 1.640625)",1.55078125,1.3080514268010452,0.5767509007903672,1.1118548976717073,0.5391898626715941,0.6225170405862899,1.36936210984919,0.7927763005383754,1.0095445992384697,1.5325249794049036,1.0020197498560408,0.7968845740846427,1.5413114121230094,0.7603152133377397,1.3541228458454664,0.36007489590925734,1.0999406278366233,0.6298638865858242,0.15727204796247965,0.9501907960131613,0.5436989245049253,1.5490140671014336,0.7797837803780129,1.5640275735985483,2.708597806097338,3.1104446181625303,1.702488771645242,2.470001289892439,1.7339746511469862,2.1665359848911176,1.7472119601780038,2.3317727819495246,1.1851140195178742,1.8117295304767658,4
6,"(0.72265625, 1.50390625)","(1.24609375, 2.05078125)","(0.875, 2.13671875)","(0.890625, 2.66796875)","(0.8125, 3.23828125)","(1.60546875, 2.01953125)","(2.1953125, 2.58984375)","(2.34375, 3.19921875)","(2.03125, 2.69921875)","(1.1796875, 3.2109375)","(1.4765625, 4.17578125)","(2.57421875, 2.62109375)","(2.4140625, 3.390625)","(2.39453125, 4.22265625)","(0.72265625, 1.43359375)","(0.859375, 1.44140625)","(0.0085296630859375, 0.0104522705078125)","(1.19921875, 1.55859375)",1.53125,1.3070244788378105,0.5756386568683952,1.1033341250075837,0.5314797297404672,0.6271934167633219,1.3916615255721532,0.820470594884614,1.0094841393202088,1.5773126002991606,0.993486170264998,0.8322604584522354,1.6116110073657663,0.7860205907866695,1.3326439664840155,0.3682042107585307,1.1488625913947454,0.6223699545700793,0.20391223650215917,1.0246965657002138,0.6151196569634338,1.617659200530971,0.8301217819401937,1.6449209009881942,2.776200758125043,3.1916715962211715,1.7671539978035657,2.533882938128876,1.7723401409422832,2.1624966130753824,1.736700475050048,2.34564051357946,1.17611861854271,1.829747710633986,4
7,"(0.73046875, 1.46484375)","(1.24609375, 2.0)","(0.87109375, 2.08984375)","(0.890625, 2.625)","(0.81640625, 3.1875)","(1.59765625, 1.96484375)","(2.19140625, 2.52734375)","(2.33203125, 3.140625)","(2.0078125, 2.66015625)","(1.19921875, 3.18359375)","(1.47265625, 4.1796875)","(2.55859375, 2.59765625)","(2.4375, 3.36328125)","(2.39453125, 4.2265625)","(0.73046875, 1.38671875)","(0.86328125, 1.390625)","(0.0091552734375, 0.0124969482421875)","(1.203125, 1.51171875)",1.515625,1.3044418743338566,0.5673752487124923,1.0990177277097546,0.5355125410675505,0.6291973317064866,1.3862785392829835,0.8178907705189,1.0329427986076056,1.6110144107489,0.9632292919888351,0.8643499465367745,1.6371475422805706,0.77514213981312,1.3028968812623374,0.3828324293281755,1.1895797987761267,0.5883414228853961,0.2463726098628356,1.0877345741982507,0.6381669688084185,1.6600643356908829,0.8714089956474586,1.7113164891324346,2.8144660012283524,3.2243130210957824,1.781524101717403,2.5530414469574936,1.7493939031334003,2.1506522675182174,1.7247984837569612,2.318026151547435,1.1711586352105017,1.8064453019414262,4
8,"(0.87109375, 1.1875)","(1.31640625, 1.8046875)","(0.92578125, 1.87890625)","(0.92578125, 2.39453125)","(0.81640625, 2.96484375)","(1.66796875, 1.75390625)","(2.2265625, 2.2578125)","(2.32421875, 2.89453125)","(1.9140625, 2.5859375)","(1.1640625, 3.1875)","(1.4609375, 4.16015625)","(2.46484375, 2.5625)","(2.40234375, 3.3671875)","(2.39453125, 4.2578125)","(0.88671875, 1.12109375)","(1.01171875, 1.13671875)","(0.007843017578125, 0.0103912353515625)","(1.3359375, 1.2734375)",1.5078125,1.3079464350473704,0.5807058104421291,1.0914316948537137,0.515625,0.6441641947249358,1.3159367207905552,0.7522954780723629,1.016953758186213,1.6381352015253694,0.9614454958063146,0.8906592646917507,1.6967699668229927,0.8071110348993191,1.1612145320538858,0.4128446122067297,1.358010495129847,0.36058305784044054,0.4790693543622494,1.365093262109887,0.8279960100013315,1.8449454876876614,1.1232150010022848,2.0070409813894092,3.030610636501846,3.4274889735872964,2.0213437828525267,2.6637875591263374,1.744537547570362,2.104914264881114,1.7781848971128713,2.2417689341458815,1.2082694902764086,1.7270970962522092,4
9,"(0.99609375, 1.0546875)","(1.375, 1.6640625)","(0.97265625, 1.703125)","(0.94140625, 2.3046875)","(0.81640625, 2.86328125)","(1.73828125, 1.63671875)","(2.25, 2.125)","(2.328125, 2.76171875)","(1.80078125, 2.59375)","(1.1171875, 3.21875)","(1.4453125, 4.140625)","(2.203125, 2.5625)","(2.328125, 3.30859375)","(2.3671875, 4.2421875)","(1.01953125, 0.9921875)","(1.1484375, 0.984375)","(0.004547119140625, 0.012451171875)","(1.46875, 1.13671875)",1.51171875,1.3208728932775147,0.5724089251043021,1.1706308499753721,0.6023736414437886,0.6414937897022562,1.2702521991376605,0.7073009672007561,0.9785292694906985,1.5871925837312757,0.9262426329202638,0.9344105997607863,1.6876808352181107,0.7564924875959196,1.0206082673345158,0.46564728344330003,1.4237732006724684,0.235187394117037,0.546875,1.4809839967510832,0.9308110988583089,1.9038350802249948,1.1861693305190717,2.1204282162602204,3.118462399846728,3.4698781421382887,2.1674478540890694,2.61809102873938,1.7367312260573022,1.9314302922013036,1.8174979917995266,2.1652396956118105,1.251195717166683,1.648590225448796,4
