,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
0,"(1.734375, 2.39453125)","(1.85546875, 2.7578125)","(1.41015625, 2.765625)","(0.98828125, 3.23046875)","(0.6640625, 3.72265625)","(2.30078125, 2.76953125)","(2.8515625, 3.25)","(3.23046875, 3.7734375)","(1.703125, 3.46875)","(1.390625, 3.41015625)","(1.66015625, 4.24609375)","(2.15625, 3.45703125)","(2.4765625, 3.37890625)","(2.37890625, 4.265625)","(1.67578125, 2.3125)","(1.8515625, 2.3203125)","(1.59765625, 2.359375)","(2.01953125, 2.39453125)",2.56640625,1.8633836122302152,0.589377920359944,1.2134927677022327,0.6277405734370389,0.6461863219655091,1.3682640850527767,0.7308968498209066,0.8783157738722518,0.7785304227457172,0.3179457147675724,0.8920800887620041,0.8386892500820105,0.3297023100938936,1.0696351072657033,0.7909167569385858,1.125250894332154,1.1198476851298238,0.8508992543278111,0.9835686181261072,0.44064508487025306,1.2177479855249196,0.39653728864895227,1.1202223311865651,1.8530494095565322,1.9789927623707029,1.0722211540186102,1.232816460703397,1.074673199326922,1.1431906077400216,1.7057212149941883,2.034620100922559,1.120467486228544,1.407101521704391,0
1,"(1.734375, 2.3828125)","(1.86328125, 2.72265625)","(1.41796875, 2.73046875)","(0.98828125, 3.203125)","(0.6640625, 3.69140625)","(2.3046875, 2.73046875)","(2.87109375, 3.2265625)","(3.234375, 3.73828125)","(1.71484375, 3.4453125)","(1.42578125, 3.37890625)","(1.66796875, 4.2578125)","(2.171875, 3.4375)","(2.48046875, 3.34375)","(2.37890625, 4.27734375)","(1.67578125, 2.29296875)","(1.8515625, 2.3046875)","(1.58984375, 2.34375)","(2.01953125, 2.37890625)",2.5703125,1.8829583709053421,0.5861197633190037,1.2213826233802871,0.638776391486342,0.6275582408853579,1.3711327006575622,0.7529442534664336,0.9116638533172808,0.8138510401940886,0.2965921761363784,0.9391018216600969,0.864985238539147,0.3225200226948127,1.0792142369060116,0.8233296448577341,1.1526681217193981,1.1042534176318235,0.8508992543278111,1.0111454698176778,0.47149262756862115,1.2547273888428911,0.40782447300431834,1.1603403683867128,1.8761755754830256,2.0011669569161703,1.0428004897045864,1.216575835160025,1.06267950000297,1.1418283464059955,1.690558029230382,2.021706094422867,1.1088590899863302,1.4156424616058825,0
2,"(1.734375, 2.3828125)","(1.86328125, 2.72265625)","(1.41796875, 2.73046875)","(0.9921875, 3.19921875)","(0.6640625, 3.69140625)","(2.3046875, 2.73046875)","(2.87109375, 3.2265625)","(3.234375, 3.734375)","(1.71484375, 3.43359375)","(1.42578125, 3.37890625)","(1.66796875, 4.2578125)","(2.17578125, 3.421875)","(2.48046875, 3.34765625)","(2.37890625, 4.27734375)","(1.67578125, 2.29296875)","(1.8515625, 2.3046875)","(1.58984375, 2.34375)","(2.01953125, 2.37890625)",2.5703125,1.8791052064621407,0.5915357561308108,1.2213826233802871,0.6332584269881946,0.6243771310336506,1.3682640850527767,0.7529442534664336,0.9116638533172808,0.8255506123046379,0.2941901622462927,0.9352185782278387,0.8792534036621994,0.3135967083816609,1.0819466347781725,0.8233296448577341,1.1526681217193981,1.1037558505118161,0.8473051548235884,1.0132333619177396,0.46935182719929036,1.2559064556688229,0.4089640411014916,1.1603403683867128,1.8761755754830256,2.0011669569161703,1.0428004897045864,1.2196636198981772,1.0509627515179236,1.1289332825483145,1.690558029230382,2.0190891984769395,1.1033410398400454,1.4156424616058825,0
3,"(1.734375, 2.3671875)","(1.8671875, 2.68359375)","(1.421875, 2.6953125)","(0.9921875, 3.15625)","(0.671875, 3.66015625)","(2.3203125, 2.6953125)","(2.890625, 3.1875)","(3.2421875, 3.69921875)","(1.7265625, 3.41796875)","(1.4375, 3.34375)","(1.67578125, 4.2578125)","(2.1875, 3.42578125)","(2.46484375, 3.30078125)","(2.3828125, 4.265625)","(1.66796875, 2.26953125)","(1.84765625, 2.28515625)","(1.5859375, 2.31640625)","(2.01953125, 2.34375)",2.5703125,1.8986946842255208,0.5970943028076156,1.222057061644039,0.6301545259398682,0.6208480252910631,1.3629678185540781,0.7533291994954795,0.9446100825249604,0.8413775964248306,0.29843852257678216,0.9683246293937922,0.8622554708845358,0.3042113667568365,1.082137009723122,0.8284289683877928,1.1683410255371183,1.0895566938266683,0.8735077258217654,1.029243134863703,0.4831764405020696,1.296433706922692,0.4405931393622976,1.1917327933648758,1.8915327430853695,2.0061246553523286,1.0206904927700904,1.1854036800877688,1.0508102923495812,1.1514959805244926,1.673521567974719,2.0119159490726277,1.0832644709684243,1.4176835543083124,0
4,"(1.73046875, 2.26953125)","(1.8671875, 2.5625)","(1.42578125, 2.58203125)","(0.98046875, 3.0546875)","(0.65234375, 3.55078125)","(2.3046875, 2.56640625)","(2.859375, 3.02734375)","(3.23046875, 3.53125)","(1.7265625, 3.30859375)","(1.45703125, 3.32421875)","(1.671875, 4.2578125)","(2.20703125, 3.3203125)","(2.484375, 3.2265625)","(2.39453125, 4.28515625)","(1.6640625, 2.17578125)","(1.84375, 2.1875)","(1.57421875, 2.2109375)","(2.0078125, 2.24609375)",2.578125,1.8791052064621407,0.5947898993880634,1.2396298354372768,0.6493898315498269,0.6258051454551369,1.3371590723491447,0.7212084314277669,0.9579953689622539,0.9507928049831953,0.2699837686816793,1.0623994667511487,0.9828935404783483,0.2927603425398708,1.1011815054784622,0.8359740062122147,1.2407002692846991,1.0449492548982942,0.8059096453358233,1.1256847416996076,0.5475024302528825,1.3876427379423215,0.42463291246859625,1.3409593569792906,1.9891444283009279,2.122197715702109,1.0895566938266683,1.2183117200723406,1.0390698425492448,1.1537993984041648,1.6745014416610695,1.9600852542942009,1.0858040048342346,1.3596724261546649,0
5,"(1.7265625, 2.19921875)","(1.86328125, 2.4921875)","(1.421875, 2.5078125)","(0.96875, 2.98046875)","(0.65625, 3.46875)","(2.296875, 2.4921875)","(2.859375, 2.953125)","(3.2421875, 3.48046875)","(1.70703125, 3.12109375)","(1.4609375, 3.30859375)","(1.6640625, 4.2578125)","(2.20703125, 3.12109375)","(0.009002685546875, 0.0100250244140625)","(0.009002685546875, 0.0100250244140625)","(1.66015625, 2.1015625)","(1.83984375, 2.1171875)","(1.57421875, 2.1328125)","(2.0, 2.17578125)",2.5859375,1.8908227233902872,0.5797196124865559,1.228650690607892,0.6547718658350117,0.6516416506181235,1.3675948054002738,0.7272342324906398,0.9707090197255626,1.1375305842385623,0.30938387771353326,0.0,3.8092096536513678,3.8092096536513678,1.1067999383427995,0.820470594884614,1.279963149493961,1.095764049665375,4.743149132893577,4.743149132893577,0.5915357561308108,1.4543268299527148,4.097128237838646,4.097128237838646,2.0595422980699043,2.782549349853312,1.1407320155277487,2.782549349853312,0.9220818756225297,1.03956901423213,1.6605054779743464,1.9846210477380815,1.0884077120529099,1.3607493501542862,0
6,"(1.734375, 2.10546875)","(1.86328125, 2.4140625)","(1.42578125, 2.42578125)","(0.98046875, 2.890625)","(0.671875, 3.37109375)","(2.296875, 2.41015625)","(2.8359375, 2.84375)","(3.19921875, 3.32421875)","(1.6953125, 2.97265625)","(1.46875, 3.33984375)","(1.671875, 4.25390625)","(2.265625, 2.91015625)","(2.515625, 3.3671875)","(2.3984375, 4.28515625)","(1.6640625, 2.015625)","(1.84765625, 2.0234375)","(1.56640625, 2.05078125)","(2.0, 2.08203125)",2.52734375,1.8560607608188808,0.5710344317688951,1.2091279322078836,0.6437258225132129,0.6023483098076436,1.284419906833553,0.6918033817099426,0.9363599839438088,1.2814643494480251,0.4314594147338774,0.9254185734751667,1.3813993485434435,0.520939116861618,1.098260787705953,0.7974875096984279,1.3339257513655887,1.0212957671239573,0.6849428651468858,1.2508602996569251,0.6634878027915245,1.5285870499060972,0.6136667777079838,1.5063393467406547,2.149346398653844,2.2785997019139845,1.2626314906773077,1.4840100291445346,0.868066840204428,0.9642346888368256,1.6524868806211443,1.905549467847545,1.088505843210373,1.3260841396788563,0
7,"(1.734375, 1.9921875)","(1.8671875, 2.30859375)","(1.4375, 2.3203125)","(1.00390625, 2.78515625)","(0.671875, 3.29296875)","(2.2890625, 2.3125)","(2.83984375, 2.765625)","(3.2265625, 3.27734375)","(1.69921875, 2.91015625)","(1.46484375, 3.32421875)","(1.6640625, 4.25390625)","(2.25, 2.85546875)","(2.515625, 3.39453125)","(2.3984375, 4.2890625)","(1.6640625, 1.90234375)","(1.8359375, 1.921875)","(1.578125, 1.9375)","(2.00390625, 1.96484375)",2.5546875,1.8360413866884409,0.6067275221487917,1.237837558522548,0.6356754297226888,0.6414105321111628,1.3452991161500338,0.713219637262297,0.9507928049831953,1.3442098141339627,0.4757934368307848,0.9021746324203604,1.4412580377730118,0.6009534254260058,1.096348754192895,0.7935842746530216,1.3812446973880117,1.063791723990768,0.7205310812605519,1.3074271852484032,0.7092614171181878,1.6102896748455113,0.7075597989856581,1.58609624359473,2.26281142646881,2.3909441167729644,1.359026984906159,1.6052786535876138,0.9186417081161866,1.0055464470756994,1.679564857441225,1.9693273273050147,1.078139152986814,1.3491726070569372,0
8,"(1.734375, 1.9921875)","(1.86328125, 2.30859375)","(1.43359375, 2.32421875)","(1.00390625, 2.78515625)","(0.671875, 3.29296875)","(2.2890625, 2.30859375)","(2.83984375, 2.765625)","(3.2265625, 3.27734375)","(1.69921875, 2.90625)","(1.46484375, 3.3203125)","(1.66796875, 4.25)","(2.25, 2.8515625)","(2.515625, 3.39453125)","(2.3984375, 4.2890625)","(1.66796875, 1.90625)","(1.8359375, 1.91796875)","(1.578125, 1.9375)","(2.00390625, 1.96484375)",2.5546875,1.8360413866884409,0.6067275221487917,1.2323522291137232,0.6301545259398682,0.6414105321111628,1.348103413132687,0.7157077258407408,0.951618943317781,1.3441133229754105,0.4757934368307848,0.9021746324203604,1.4451435712088436,0.6044598449041612,1.097718803822557,0.793440053904909,1.3813441179755408,1.0653468868203504,0.7205310812605519,1.3074271852484032,0.7062970981253657,1.608336474690639,0.7075597989856581,1.58609624359473,2.2587888513969854,2.3909441167729644,1.3551985501584491,1.6052786535876138,0.9147383318853062,1.002194856926536,1.679564857441225,1.9693273273050147,1.078139152986814,1.3491726070569372,0
9,"(1.73046875, 1.86328125)","(1.85546875, 2.19921875)","(1.4296875, 2.22265625)","(1.015625, 2.6796875)","(0.68359375, 3.17578125)","(2.26953125, 2.1875)","(2.77734375, 2.609375)","(0.0057220458984375, 0.012969970703125)","(1.703125, 2.8515625)","(1.46484375, 3.33984375)","(1.66796875, 4.265625)","(2.24609375, 2.8046875)","(2.51171875, 3.3515625)","(2.3984375, 4.30078125)","(1.66796875, 1.77734375)","(1.8359375, 1.7890625)","(1.58203125, 1.82421875)","(2.00390625, 1.84375)",0.6778717041015625,1.763121323607032,0.5969537333542903,1.2104144535711983,0.6167052110877712,3.797789613288887,3.139014648084462,0.6601909199475936,0.9478030852854207,1.4144994576953052,0.5433199179149656,0.9559544324669064,1.503830152295506,0.6079711393232412,1.0698419357915099,0.7982907154704043,1.4685889622488189,3.579518422347116,4.174472368772466,4.910235514836529,0.7985009453755362,1.7148615460352221,0.788288605639616,1.7333277384349808,2.4031566206063353,2.5273678998073397,1.500264462363636,1.680872583392793,0.9886594508553616,1.0733661389125626,1.678869713713664,2.529506478268526,1.0851362826636686,1.285536133064358,0
