,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
0,"(1.86328125, 2.2109375)","(1.84375, 2.65625)","(1.42578125, 2.6640625)","(1.140625, 3.16015625)","(1.02734375, 3.65234375)","(2.2421875, 2.66015625)","(2.5078125, 3.16015625)","(2.6171875, 3.6796875)","(1.625, 3.3515625)","(1.30078125, 3.48046875)","(1.4296875, 4.2578125)","(2.0703125, 3.3671875)","(2.33203125, 3.47265625)","(2.26171875, 4.23046875)","(1.78125, 2.1484375)","(1.9375, 2.15234375)","(1.66796875, 2.2265625)","(2.046875, 2.2421875)",1.58984375,1.3671875,0.5050556174896113,1.0655760275587156,0.5722089615718413,0.5309195893462234,1.0863097945459952,0.5661772166247949,0.7879594703746665,0.9270577302176224,0.34890488552129073,0.7610674298723471,0.8842459324987733,0.2821708016930969,0.669075745723625,0.3229691657592873,0.7269614160260673,0.6298638865858242,0.3523861878544972,0.6555288075882898,0.3581202620214507,1.1350798967783335,0.3585460888805824,1.098239947117802,2.0922955827664653,2.0584603253725375,1.3885661110392125,1.3459794822364726,1.1652481901837748,1.174638668262101,1.6662663296860176,1.6509394889847,1.1929997028564696,1.1473607835280606,4
1,"(1.86328125, 2.2109375)","(1.84375, 2.65234375)","(1.42578125, 2.6640625)","(1.140625, 3.16015625)","(1.02734375, 3.65234375)","(2.23828125, 2.66015625)","(2.5078125, 3.16015625)","(2.6171875, 3.6796875)","(1.62890625, 3.359375)","(1.30078125, 3.48046875)","(1.4296875, 4.2578125)","(2.0703125, 3.37109375)","(2.3359375, 3.4765625)","(2.26171875, 4.23046875)","(1.78125, 2.1484375)","(1.9375, 2.15234375)","(1.66796875, 2.22265625)","(2.04296875, 2.2421875)",1.58984375,1.3671875,0.5050556174896113,1.0655760275587156,0.5722089615718413,0.5309195893462234,1.0876644317139479,0.5680203295011214,0.7879594703746665,0.9202597740626353,0.34975664670462303,0.7575506957561488,0.8804327022345675,0.2857976519350054,0.6691099535075028,0.3229691657592873,0.7269614160260673,0.6279350031365208,0.34693130173710185,0.6555288075882898,0.3581202620214507,1.1350798967783335,0.36007489590925734,1.098239947117802,2.0922955827664653,2.0584603253725375,1.3885661110392125,1.3510035422933067,1.1721093515671863,1.1784839680244381,1.6662663296860176,1.6509394889847,1.1929997028564696,1.1473607835280606,4
2,"(1.859375, 2.203125)","(1.84765625, 2.62890625)","(1.42578125, 2.6328125)","(1.13671875, 3.12109375)","(1.0234375, 3.6171875)","(2.24609375, 2.640625)","(2.51171875, 3.125)","(2.6171875, 3.640625)","(1.640625, 3.34375)","(1.30078125, 3.46875)","(1.421875, 4.2578125)","(2.09375, 3.3359375)","(2.34375, 3.48828125)","(2.26171875, 4.2421875)","(1.78125, 2.140625)","(1.9375, 2.14453125)","(1.6640625, 2.203125)","(2.04296875, 2.23046875)",1.59375,1.3750055486393729,0.5088630959213146,1.0634258948272148,0.5674290334551207,0.5263010524895068,1.0666351631598607,0.5524271728019903,0.7983002725762484,0.9398732980600364,0.3621032648486651,0.7583559584823113,0.9216846334167466,0.2927603425398708,0.6750470180383734,0.31456835039512876,0.7544221842120299,0.605657732603572,0.3130122754307129,0.6987384872989412,0.38442342809760244,1.171940102358318,0.40023339138323405,1.1448178502086042,2.1007491455802736,2.078378303406363,1.3834137552316235,1.3734066140582921,1.1614116208842582,1.156804132418816,1.642669856609203,1.6250187799395581,1.1682887834951703,1.1293386931249023,4
3,"(1.859375, 2.203125)","(1.84765625, 2.62890625)","(1.42578125, 2.6328125)","(1.13671875, 3.12109375)","(1.0234375, 3.6171875)","(2.24609375, 2.640625)","(2.51171875, 3.12890625)","(2.6171875, 3.63671875)","(1.640625, 3.34375)","(1.30078125, 3.46875)","(1.421875, 4.2578125)","(2.08984375, 3.33984375)","(2.34375, 3.484375)","(2.26171875, 4.2421875)","(1.78125, 2.140625)","(1.9375, 2.14453125)","(1.6640625, 2.203125)","(2.04296875, 2.23046875)",1.59375,1.3750221944231482,0.5088630959213146,1.0634258948272148,0.5674290334551207,0.5186493925406762,1.06297381438967,0.5558553946185667,0.7983002725762484,0.9398732980600364,0.3621032648486651,0.7622394053923036,0.9185669593388729,0.29216034298929927,0.6750470180383734,0.31456835039512876,0.7544221842120299,0.6051662550812483,0.3130122754307129,0.7021042938574902,0.38442342809760244,1.171940102358318,0.3931558637526916,1.141006197004014,2.1007491455802736,2.078378303406363,1.3834137552316235,1.3697520589964447,1.1614116208842582,1.1598471284303484,1.642669856609203,1.6215643142334233,1.1682887834951703,1.132529598295614,4
4,"(1.86328125, 2.18359375)","(1.84375, 2.5859375)","(1.42578125, 2.58984375)","(1.140625, 3.0703125)","(1.02734375, 3.5703125)","(2.24609375, 2.59375)","(2.51171875, 3.07421875)","(2.61328125, 3.5859375)","(1.6171875, 3.2421875)","(1.296875, 3.4375)","(1.41796875, 4.25)","(2.08203125, 3.26953125)","(2.33984375, 3.44921875)","(2.2578125, 4.24609375)","(1.78125, 2.1171875)","(1.94140625, 2.12109375)","(1.66796875, 2.17578125)","(2.04296875, 2.1953125)",1.5859375,1.3710993144473982,0.5126720604846362,1.0583342624770364,0.558716660428723,0.5217001250793529,1.057952123355542,0.5490053372705611,0.8214742517505114,1.0273140442473336,0.3751627251107178,0.8010860700334032,0.992256702803167,0.3142528962674807,0.6749678992656336,0.3004767127130029,0.7839406790575738,0.6183360555062777,0.30571241879879935,0.7497761710274774,0.3990497746600667,1.2118507141229535,0.41251183695137766,1.199066052982096,2.113844368134824,2.0998955110258612,1.3758985877702343,1.3523751169816938,1.0868223688018779,1.1077507916522786,1.6191912782336164,1.5903043712334008,1.1438978089259657,1.1016733100294525,4
5,"(1.86328125, 2.12109375)","(1.83984375, 2.48046875)","(1.4296875, 2.48828125)","(1.140625, 2.95703125)","(1.03125, 3.44921875)","(2.24609375, 2.4921875)","(2.51171875, 2.94140625)","(2.62109375, 3.45703125)","(1.59765625, 3.0546875)","(1.296875, 3.40625)","(1.4140625, 4.2421875)","(2.0859375, 3.0703125)","(2.3671875, 3.4375)","(2.26171875, 4.2265625)","(1.77734375, 2.05078125)","(1.9375, 2.05078125)","(1.66015625, 2.10546875)","(2.0390625, 2.1171875)",1.58984375,1.3711827784486146,0.5041938375082048,1.0402659853674443,0.5507119858930346,0.5270977435447812,1.03515625,0.5218755847676364,0.8441116123253488,1.2016084699431269,0.462672186064618,0.7960799495859775,1.169535425009248,0.46252375361299014,0.6902687500282951,0.26907797030147695,0.8805366821619713,0.6602602543812742,0.25465634395322845,0.8493107413376817,0.4756170180424188,1.3139233818302771,0.5167187736241301,1.3092465722368962,2.168141181205833,2.142837161016397,1.4044367650247287,1.4095555767078236,0.9706461408072782,0.9749830978102262,1.567224303219409,1.5359065040107422,1.1049993482216687,1.0456499361939922,4
6,"(1.86328125, 2.078125)","(1.84375, 2.4296875)","(1.43359375, 2.43359375)","(1.1484375, 2.890625)","(1.0390625, 3.38671875)","(2.25, 2.44140625)","(2.51953125, 2.890625)","(2.62109375, 3.38671875)","(1.6015625, 2.98828125)","(1.2890625, 3.40234375)","(1.4140625, 4.25)","(2.0703125, 3.0)","(2.375, 3.421875)","(2.265625, 4.234375)","(1.78125, 2.0078125)","(1.9375, 2.0078125)","(1.6640625, 2.0546875)","(2.0390625, 2.06640625)",1.58203125,1.37109375,0.5080077749543431,1.031553281634818,0.5386943942446636,0.5063832048906367,1.0155423644266706,0.5238745843025074,0.8568232712549668,1.275574558425168,0.5187523531573134,0.8198287263965566,1.2497314164576523,0.5203969526056528,0.6893175548368473,0.25048780534189685,0.9412117278283152,0.6729869069700576,0.24859222776089562,0.9191730796703225,0.5306896171271513,1.3850837632612694,0.5505595741848129,1.367527859419713,2.2178454637274805,2.1934663333783044,1.4433580535345778,1.4378873883588945,0.9470380686728622,0.9448362049062062,1.5465297120943473,1.5121829875036,1.082200460595939,1.0444234354417752,4
7,"(1.86328125, 2.078125)","(1.84375, 2.42578125)","(1.43359375, 2.43359375)","(1.1484375, 2.89453125)","(1.0390625, 3.38671875)","(2.25, 2.44140625)","(2.51953125, 2.890625)","(2.62109375, 3.38671875)","(1.59765625, 2.984375)","(1.2890625, 3.40234375)","(1.4140625, 4.24609375)","(2.0703125, 2.99609375)","(2.375, 3.421875)","(2.265625, 4.234375)","(1.78125, 2.0078125)","(1.9375, 2.01171875)","(1.6640625, 2.0546875)","(2.0390625, 2.06640625)",1.58203125,1.3710993144473982,0.5041938375082048,1.031553281634818,0.5420124222011083,0.5063832048906367,1.0155423644266706,0.5238745843025074,0.8529590039972613,1.2750062231772146,0.5195459349428354,0.8198287263965566,1.2535898159915837,0.523568663603746,0.6884093772626322,0.25048780534189685,0.9376301992923436,0.6752391250339116,0.24859222776089562,0.9191730796703225,0.526924022778664,1.3774170871712206,0.5505595741848129,1.367527859419713,2.2140203220223893,2.1934663333783044,1.4433580535345778,1.4378873883588945,0.9443758272663485,0.9410252730150902,1.5465297120943473,1.5121829875036,1.0851362826636686,1.0444234354417752,4
8,"(1.8671875, 2.015625)","(1.84375, 2.36328125)","(1.4375, 2.37109375)","(1.14453125, 2.82421875)","(1.03515625, 3.34765625)","(2.2421875, 2.375)","(2.5234375, 2.8203125)","(2.625, 3.3203125)","(1.59765625, 2.94140625)","(1.29296875, 3.390625)","(1.41015625, 4.24609375)","(2.06640625, 2.9453125)","(2.375, 3.44140625)","(2.265625, 4.23828125)","(1.78515625, 1.94140625)","(1.94140625, 1.94140625)","(1.6640625, 1.99609375)","(2.0390625, 2.0)",1.58984375,1.3789117829209108,0.5347426549577375,1.056198281370649,0.5395859098434304,0.5102106833517405,1.0198829015198265,0.5266923059588492,0.8634579853025928,1.3180916973626113,0.5428001087028378,0.8043461047646094,1.3082263943324661,0.584242339554508,0.6938626034742037,0.2613687024737516,0.973557877789631,0.6727941568853452,0.27778354214939105,0.9858077990164018,0.5855337150372406,1.4464733513791397,0.6385852626668678,1.4412156886229113,2.2768110172350986,2.2580861912403414,1.4900846193594384,1.5135143567233884,0.9642188639401974,0.9507928049831953,1.5705359760136426,1.508803916290152,1.0844611141959517,1.0383573735262104,4
9,"(1.8671875, 2.015625)","(1.83984375, 2.36328125)","(1.4375, 2.37109375)","(1.1484375, 2.828125)","(1.03515625, 3.34765625)","(2.2421875, 2.37109375)","(2.5234375, 2.8203125)","(2.62109375, 3.31640625)","(1.59765625, 2.94140625)","(1.29296875, 3.390625)","(1.41015625, 4.2421875)","(2.0703125, 2.9453125)","(2.375, 3.4453125)","(2.265625, 4.23828125)","(1.78515625, 1.94140625)","(1.94140625, 1.94140625)","(1.6640625, 1.99609375)","(2.0390625, 2.0)",1.5859375,1.3750221944231482,0.531738057062051,1.056198281370649,0.5407723110356266,0.5056142323482647,1.0184231286382455,0.5299991017459958,0.859588041774954,1.3142252890397303,0.5428001087028378,0.8004763138916494,1.307637243708213,0.5855206850797416,0.6938626034742037,0.2613687024737516,0.9699542036748758,0.6641314302460206,0.2778110060421023,0.9880341835440526,0.5807714974295506,1.438078390772844,0.6423851581459911,1.4412156886229113,2.272984410391504,2.2580861912403414,1.4900846193594384,1.5171947412288576,0.9642188639401974,0.951618943317781,1.5705359760136426,1.5034648296985949,1.0847846848568614,1.0383573735262104,4
