,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
0,"(1.8828125, 2.22265625)","(1.8671875, 2.62109375)","(1.51953125, 2.609375)","(1.2265625, 3.16015625)","(1.0703125, 3.7421875)","(2.2265625, 2.640625)","(2.4921875, 3.17578125)","(2.6640625, 3.7421875)","(1.625, 3.25390625)","(1.359375, 3.4375)","(1.40625, 4.20703125)","(2.07421875, 3.2578125)","(2.375, 3.4765625)","(2.3359375, 4.1953125)","(1.8046875, 2.16015625)","(1.953125, 2.16015625)","(1.68359375, 2.23828125)","(2.05078125, 2.23046875)",1.59375,1.2657214469424147,0.6026395593358956,1.2186310538911327,0.6238514837909139,0.5919096685002387,1.1852620770978248,0.5974519667212274,0.7709575930954714,0.9779053267699281,0.3228982899676963,0.7198106983132787,0.9733462662904515,0.3719152092232348,0.7389836275302806,0.4199900017411129,0.5735274324915178,0.7632396674957759,0.39257326645003476,0.5594535559365049,0.3075040094377836,1.0621840063196442,0.3228037647051417,1.0314349384360424,2.0407978726545286,2.024029383751398,1.3228122139292156,1.3470446981987318,1.062988169104553,1.0527035738768653,1.7231167893461437,1.7086037522569597,1.1443645889750347,1.1312758974936221,4
1,"(1.88671875, 2.2109375)","(1.87109375, 2.60546875)","(1.52734375, 2.59375)","(1.2265625, 3.14453125)","(1.07421875, 3.73828125)","(2.22265625, 2.625)","(2.48828125, 3.1640625)","(2.66015625, 3.734375)","(1.62890625, 3.2578125)","(1.359375, 3.43359375)","(1.40234375, 4.20703125)","(2.0546875, 3.26953125)","(2.36328125, 3.46875)","(2.33203125, 4.1953125)","(1.80859375, 2.1484375)","(1.95703125, 2.1484375)","(1.6875, 2.2265625)","(2.05078125, 2.22265625)",1.5859375,1.2618699116105927,0.6129826104091881,1.2309646818051128,0.6275582408853579,0.595648691160528,1.1925263689432615,0.6009534254260058,0.7746301568379664,0.9758825758039809,0.32178586447842145,0.7272342324906398,0.9664318281780795,0.36731214639680104,0.7338449716273953,0.4173111064545401,0.5721822944875173,0.7633296267934483,0.3983608994994363,0.5657997830781221,0.31811364174222395,1.0769425694304977,0.3293318579430936,1.0430199542674148,2.054022735856169,2.0337274555065754,1.3315328521400158,1.3450665788586451,1.0781533057878412,1.0718368478997282,1.7300101677921036,1.7085278408069622,1.1434174935049424,1.1270868232000808,4
2,"(1.88671875, 2.2109375)","(1.87109375, 2.60546875)","(1.52734375, 2.59375)","(1.2265625, 3.14453125)","(1.07421875, 3.73828125)","(2.22265625, 2.625)","(2.48828125, 3.16796875)","(2.66015625, 3.734375)","(1.6328125, 3.25390625)","(1.359375, 3.43359375)","(1.40234375, 4.20703125)","(2.05859375, 3.26953125)","(2.36328125, 3.46484375)","(2.33203125, 4.1953125)","(1.80859375, 2.1484375)","(1.95703125, 2.1484375)","(1.6875, 2.2265625)","(2.05078125, 2.22265625)",1.5859375,1.2619364169829685,0.6129826104091881,1.2309646818051128,0.6275582408853579,0.5919096685002387,1.1925263689432615,0.6044598449041612,0.7746301568379664,0.9805932440882725,0.3271936186151863,0.7311368936297514,0.9653180767279832,0.3619135881843897,0.739355204326082,0.4173111064545401,0.5721822944875173,0.7602349329781634,0.40097613439151525,0.5657997830781221,0.31811364174222395,1.0769425694304977,0.32211762700137975,1.0391579490934295,2.054022735856169,2.0337274555065754,1.3315328521400158,1.341414440132248,1.073430108235103,1.072455939963998,1.7300101677921036,1.7085278408069622,1.1434174935049424,1.1303920801575056,4
3,"(1.890625, 2.1875)","(1.87109375, 2.58203125)","(1.52734375, 2.57421875)","(1.2265625, 3.125)","(1.08203125, 3.7109375)","(2.22265625, 2.60546875)","(2.4921875, 3.1484375)","(2.66015625, 3.69921875)","(1.64453125, 3.25390625)","(1.36328125, 3.40625)","(1.3984375, 4.19921875)","(2.0625, 3.2734375)","(2.37109375, 3.453125)","(2.3359375, 4.1953125)","(1.81640625, 2.125)","(1.9609375, 2.125)","(1.6875, 2.19921875)","(2.0546875, 2.19921875)",1.578125,1.2658419952866353,0.6034998228109205,1.2208328056117317,0.6275582408853579,0.5758241800481506,1.1780048015606728,0.606186570457582,0.7937476931560967,0.9768202784777313,0.319859626498973,0.7430196814824709,0.9615724528246689,0.3570962057979789,0.7247646607531044,0.41465170342861246,0.5818345934547249,0.7338137815656128,0.3796304290956041,0.5926439121771395,0.3127196493691474,1.0878818586944827,0.327869133870989,1.0584712221524968,2.071053080985085,2.056602600847451,1.327946909015591,1.3537565735210901,1.0944333802603634,1.099454987496646,1.7247277086384716,1.696311269734457,1.1488625913947454,1.1337011600560793,4
4,"(1.890625, 2.1875)","(1.87109375, 2.58203125)","(1.53125, 2.5703125)","(1.2265625, 3.125)","(1.08203125, 3.70703125)","(2.22265625, 2.60546875)","(2.4921875, 3.1484375)","(2.66015625, 3.69921875)","(1.64453125, 3.25390625)","(1.36328125, 3.41015625)","(1.3984375, 4.203125)","(2.0625, 3.2734375)","(2.37109375, 3.453125)","(2.3359375, 4.1953125)","(1.81640625, 2.125)","(1.9609375, 2.125)","(1.6875, 2.19921875)","(2.0546875, 2.19921875)",1.578125,1.2658419952866353,0.5997079774382904,1.2222630657731277,0.6328607234712074,0.5758241800481506,1.1780048015606728,0.606186570457582,0.7937476931560967,0.9806010244440014,0.3217384419058438,0.7430196814824709,0.9615724528246689,0.3570962057979789,0.7223077707078888,0.40894538525945,0.5884062574685326,0.7338137815656128,0.3796304290956041,0.5926439121771395,0.31623741637514213,1.0917392230977139,0.327869133870989,1.0584712221524968,2.0748476271237966,2.056602600847451,1.3315328521400158,1.3537565735210901,1.0944333802603634,1.099454987496646,1.7212783250438102,1.696311269734457,1.1488625913947454,1.1337011600560793,4
5,"(1.890625, 2.1875)","(1.8671875, 2.58203125)","(1.53125, 2.5703125)","(1.23046875, 3.125)","(1.0859375, 3.70703125)","(2.21875, 2.6015625)","(2.4921875, 3.1484375)","(2.66015625, 3.703125)","(1.64453125, 3.25390625)","(1.36328125, 3.41015625)","(1.3984375, 4.19921875)","(2.06640625, 3.26953125)","(2.37109375, 3.453125)","(2.3359375, 4.19921875)","(1.81640625, 2.12109375)","(1.9609375, 2.125)","(1.6875, 2.19921875)","(2.0546875, 2.19921875)",1.57421875,1.2619364169829685,0.5997079774382904,1.2208328056117317,0.6309893683793828,0.5795616650821658,1.186709492228537,0.6114248375975987,0.7898452954979934,0.9768202784777313,0.3217384419058438,0.7469215793529632,0.9679700110968379,0.3557262117068582,0.7192699376201278,0.40626877961401675,0.583013537712676,0.7352160244030747,0.38217421276984403,0.5926439121771395,0.31456835039512876,1.0872715501787606,0.327869133870989,1.0623348332101148,2.071053080985085,2.060416353982324,1.3315328521400158,1.3537565735210901,1.0944333802603634,1.096216526890616,1.7194467692786575,1.6997933654863941,1.1466091419546864,1.1337011600560793,4
6,"(1.890625, 2.1875)","(1.87109375, 2.58203125)","(1.53125, 2.5703125)","(1.23046875, 3.125)","(1.0859375, 3.70703125)","(2.21875, 2.6015625)","(2.4921875, 3.14453125)","(2.66015625, 3.703125)","(1.6484375, 3.25)","(1.36328125, 3.40625)","(1.3984375, 4.19921875)","(2.0703125, 3.26953125)","(2.37109375, 3.453125)","(2.3359375, 4.19921875)","(1.81640625, 2.125)","(1.9609375, 2.125)","(1.6875, 2.19921875)","(2.0546875, 2.19921875)",1.57421875,1.2618699116105927,0.5997079774382904,1.2208328056117317,0.6309893683793828,0.5833013616610414,1.186709492228537,0.6079334913317512,0.7937476931560967,0.981588628373191,0.32515865268213684,0.7469215793529632,0.9668895946700689,0.3523861878544972,0.7247646607531044,0.4091319053992551,0.583013537712676,0.7320650172307955,0.38217421276984403,0.5926439121771395,0.3110317068342872,1.0872715501787606,0.3315023360824551,1.0661987549965766,2.071053080985085,2.060416353982324,1.327946909015591,1.3537565735210901,1.089752740375655,1.0968496814207553,1.7194467692786575,1.6997933654863941,1.1466091419546864,1.1303920801575056,4
7,"(1.8984375, 2.15625)","(1.87109375, 2.55859375)","(1.5234375, 2.5546875)","(1.22265625, 3.1171875)","(1.0859375, 3.6796875)","(2.2265625, 2.57421875)","(2.4921875, 3.1171875)","(2.65625, 3.66796875)","(1.65234375, 3.23828125)","(1.37109375, 3.3828125)","(1.39453125, 4.19921875)","(2.07421875, 3.23828125)","(2.3671875, 3.4375)","(2.3359375, 4.19140625)","(1.8203125, 2.09375)","(1.96484375, 2.09765625)","(1.69140625, 2.17578125)","(2.05859375, 2.171875)",1.5703125,1.26953125,0.5788767283295836,1.207075494739248,0.6378680195397497,0.5746968672768388,1.1751256997258845,0.6044598449041612,0.8167426041570945,0.9949211848495839,0.3162132899271669,0.7545536404319195,0.9884047600687497,0.3542863232304135,0.7180915802167054,0.4116416554954837,0.6042704876672573,0.7234581699260936,0.36969308031502635,0.6136667777079838,0.30428659522110074,1.0955969339139109,0.34383876694789667,1.0855229087179885,2.10419647900704,2.081650117554356,1.335120592707008,1.364304997058942,1.109663804837134,1.096216526890616,1.7265625,1.6910273103228737,1.1747685630615983,1.1295751154333429,4
8,"(1.8984375, 2.15625)","(1.87109375, 2.55859375)","(1.5234375, 2.5546875)","(1.2265625, 3.1171875)","(1.0859375, 3.6796875)","(2.2265625, 2.57421875)","(2.48828125, 3.11328125)","(2.65234375, 3.66796875)","(1.6484375, 3.234375)","(1.375, 3.3828125)","(1.3984375, 4.19921875)","(2.07421875, 3.23828125)","(2.3671875, 3.43359375)","(2.3359375, 4.1953125)","(1.8203125, 2.09375)","(1.96484375, 2.09765625)","(1.69140625, 2.17578125)","(2.05859375, 2.171875)",1.56640625,1.2617247968121357,0.5798117286024835,1.207075494739248,0.6360353886577381,0.578441636262899,1.1737030013387384,0.5992370841393351,0.8167426041570945,0.9967063067494167,0.3111298086209356,0.7623595061396968,0.9921721209438032,0.3521046167445302,0.7174325561725297,0.4143572064430037,0.6062746652521137,0.720319278709969,0.36911478910910966,0.6149832076594652,0.30428659522110074,1.0955969339139109,0.3424380147491112,1.092703182085888,2.103264442117672,2.0854692826570833,1.3335825369329415,1.360637210340825,1.106731004185299,1.096216526890616,1.7265625,1.6892803831485834,1.172525860922159,1.1241994764678664,4
9,"(1.8984375, 2.140625)","(1.87109375, 2.53515625)","(1.53515625, 2.52734375)","(1.2265625, 3.09375)","(1.08984375, 3.65625)","(2.21875, 2.5546875)","(2.50390625, 3.11328125)","(2.65234375, 3.6640625)","(1.65234375, 3.1953125)","(1.37890625, 3.35546875)","(1.390625, 4.19921875)","(2.06640625, 3.203125)","(2.3671875, 3.3984375)","(2.3359375, 4.18359375)","(1.82421875, 2.08203125)","(1.96875, 2.08203125)","(1.6953125, 2.16015625)","(2.0625, 2.16015625)",1.5625,1.2774930627563599,0.5788767283295836,1.213561924231851,0.6450163893872194,0.570432885410556,1.1910988332896908,0.6271690876096533,0.8438313762841262,1.037460583776861,0.3168881361305792,0.785777894454955,1.0168412188995513,0.35863119357888057,0.7272342324906398,0.4171648226514461,0.6207128352371368,0.7455106523802997,0.38970595009450715,0.6082973243123999,0.302828866301786,1.117576691387581,0.31623741637514213,1.0834123631530206,2.120302280972058,2.0892887697674927,1.3212713788774149,1.3423184598508098,1.0830179391151895,1.0756950083441694,1.7178308977207455,1.6997754116927661,1.1661317598153307,1.1457105166186723,4
